Image_ID,ROC-AUC,PR-AUC,F1-Score,IoU
Test_1,0.9748,0.8978,0.8124,0.6841
Test_2,0.9771,0.9032,0.8233,0.6997
Test_3,0.9786,0.8930,0.8083,0.6783
Test_4,0.9750,0.8964,0.8148,0.6875
Test_5,0.9819,0.8957,0.8109,0.6819
Test_6,0.9784,0.8970,0.8110,0.6821
Test_7,0.9858,0.9174,0.8331,0.7139
Test_8,0.9786,0.9094,0.8293,0.7084
Test_9,0.9879,0.9154,0.8270,0.7050
Test_10,0.9857,0.8934,0.8072,0.6767
Test_11,0.9879,0.9253,0.8423,0.7276
Test_12,0.9811,0.8971,0.8164,0.6897
Test_13,0.9878,0.9078,0.8173,0.6910
Test_14,0.9914,0.9463,0.8542,0.7455
Test_15,0.9898,0.9090,0.8093,0.6796

AVERAGE,0.9828,0.9069,0.8211,0.6967
